symbol,exchange,stock_name,list_date,delist_date,is_active,source,run_id,update_time
000422,SZ,湖北宜化,,,True,akshare.stock_info_a_code_name,week1_data_engineer_20260707_20260707T140842,2026-07-07T14:08:50
000423,SZ,东阿阿胶,,,True,akshare.stock_info_a_code_name,week1_data_engineer_20260707_20260707T140842,2026-07-07T14:08:50
000425,SZ,徐工机械,,,True,akshare.stock_info_a_code_name,week1_data_engineer_20260707_20260707T140842,2026-07-07T14:08:50
000426,SZ,兴业银锡,,,True,akshare.stock_info_a_code_name,week1_data_engineer_20260707_20260707T140842,2026-07-07T14:08:50
000428,SZ,华天酒店,,,True,akshare.stock_info_a_code_name,week1_data_engineer_20260707_20260707T140842,2026-07-07T14:08:50
000429,SZ,粤高速Ａ,,,True,akshare.stock_info_a_code_name,week1_data_engineer_20260707_20260707T140842,2026-07-07T14:08:50
000430,SZ,张家界,,,True,akshare.stock_info_a_code_name,week1_data_engineer_20260707_20260707T140842,2026-07-07T14:08:50
000488,SZ,ST晨鸣,,,True,akshare.stock_info_a_code_name,week1_data_engineer_20260707_20260707T140842,2026-07-07T14:08:50
000498,SZ,山东路桥,,,True,akshare.stock_info_a_code_name,week1_data_engineer_20260707_20260707T140842,2026-07-07T14:08:50
000501,SZ,武商集团,,,True,akshare.stock_info_a_code_name,week1_data_engineer_20260707_20260707T140842,2026-07-07T14:08:50
000503,SZ,国新健康,,,True,akshare.stock_info_a_code_name,week1_data_engineer_20260707_20260707T140842,2026-07-07T14:08:50
000504,SZ,南华生物,,,True,akshare.stock_info_a_code_name,week1_data_engineer_20260707_20260707T140842,2026-07-07T14:08:50
000505,SZ,京粮控股,,,True,akshare.stock_info_a_code_name,week1_data_engineer_20260707_20260707T140842,2026-07-07T14:08:50
000506,SZ,招金黄金,,,True,akshare.stock_info_a_code_name,week1_data_engineer_20260707_20260707T140842,2026-07-07T14:08:50
000507,SZ,珠海港,,,True,akshare.stock_info_a_code_name,week1_data_engineer_20260707_20260707T140842,2026-07-07T14:08:50
000509,SZ,华塑控股,,,True,akshare.stock_info_a_code_name,week1_data_engineer_20260707_20260707T140842,2026-07-07T14:08:50
000510,SZ,新金路,,,True,akshare.stock_info_a_code_name,week1_data_engineer_20260707_20260707T140842,2026-07-07T14:08:50
000513,SZ,丽珠集团,,,True,akshare.stock_info_a_code_name,week1_data_engineer_20260707_20260707T140842,2026-07-07T14:08:50
000514,SZ,渝 开 发,,,True,akshare.stock_info_a_code_name,week1_data_engineer_20260707_20260707T140842,2026-07-07T14:08:50
000516,SZ,国际医学,,,True,akshare.stock_info_a_code_name,week1_data_engineer_20260707_20260707T140842,2026-07-07T14:08:50
000517,SZ,荣安地产,,,True,akshare.stock_info_a_code_name,week1_data_engineer_20260707_20260707T140842,2026-07-07T14:08:50
000518,SZ,四环生物,,,True,akshare.stock_info_a_code_name,week1_data_engineer_20260707_20260707T140842,2026-07-07T14:08:50
000519,SZ,中兵红箭,,,True,akshare.stock_info_a_code_name,week1_data_engineer_20260707_20260707T140842,2026-07-07T14:08:50
000520,SZ,凤凰航运,,,True,akshare.stock_info_a_code_name,week1_data_engineer_20260707_20260707T140842,2026-07-07T14:08:50
000521,SZ,长虹美菱,,,True,akshare.stock_info_a_code_name,week1_data_engineer_20260707_20260707T140842,2026-07-07T14:08:50
000523,SZ,红棉股份,,,True,akshare.stock_info_a_code_name,week1_data_engineer_20260707_20260707T140842,2026-07-07T14:08:50
000524,SZ,岭南控股,,,True,akshare.stock_info_a_code_name,week1_data_engineer_20260707_20260707T140842,2026-07-07T14:08:50
000525,SZ,红太阳,,,True,akshare.stock_info_a_code_name,week1_data_engineer_20260707_20260707T140842,2026-07-07T14:08:50
000526,SZ,学大教育,,,True,akshare.stock_info_a_code_name,week1_data_engineer_20260707_20260707T140842,2026-07-07T14:08:50
000528,SZ,柳    工,,,True,akshare.stock_info_a_code_name,week1_data_engineer_20260707_20260707T140842,2026-07-07T14:08:50
000529,SZ,广弘控股,,,True,akshare.stock_info_a_code_name,week1_data_engineer_20260707_20260707T140842,2026-07-07T14:08:50
000530,SZ,冰山冷热,,,True,akshare.stock_info_a_code_name,week1_data_engineer_20260707_20260707T140842,2026-07-07T14:08:50
000531,SZ,穗恒运Ａ,,,True,akshare.stock_info_a_code_name,week1_data_engineer_20260707_20260707T140842,2026-07-07T14:08:50
000532,SZ,华金资本,,,True,akshare.stock_info_a_code_name,week1_data_engineer_20260707_20260707T140842,2026-07-07T14:08:50
000533,SZ,顺钠股份,,,True,akshare.stock_info_a_code_name,week1_data_engineer_20260707_20260707T140842,2026-07-07T14:08:50
000534,SZ,万泽股份,,,True,akshare.stock_info_a_code_name,week1_data_engineer_20260707_20260707T140842,2026-07-07T14:08:50
000536,SZ,华映科技,,,True,akshare.stock_info_a_code_name,week1_data_engineer_20260707_20260707T140842,2026-07-07T14:08:50
